"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","standard","none","75","86","81"
"female","group C","associate's degree","free/reduced","none","71","85","77"
"male","group D","associate's degree","free/reduced","none","81","65","67"
"female","group D","high school","standard","none","66","63","63"
"male","group C","associate's degree","standard","completed","85","88","90"
"female","group C","some high school","standard","none","64","76","71"
"male","group C","high school","standard","none","79","63","58"
"female","group C","some college","free/reduced","completed","53","69","69"
"male","group D","some high school","free/reduced","none","79","78","73"
"male","group B","master's degree","standard","completed","94","82","87"
"female","group A","some high school","standard","none","70","77","74"
"male","group D","bachelor's degree","standard","none","62","54","50"
"male","group B","high school","free/reduced","none","68","74","72"
"female","group D","bachelor's degree","free/reduced","none","49","69","67"
"female","group C","high school","standard","none","82","83","78"
"male","group B","master's degree","standard","none","60","53","51"
"male","group D","some high school","standard","completed","88","86","82"
"female","group A","some college","free/reduced","completed","70","82","85"
"male","group C","some college","free/reduced","none","49","50","42"
"male","group E","master's degree","standard","completed","96","75","79"
"female","group B","high school","free/reduced","none","66","65","70"
"female","group B","associate's degree","standard","completed","77","93","86"
"female","group B","associate's degree","standard","none","64","70","75"
"female","group B","high school","free/reduced","none","70","86","86"
"female","group B","master's degree","standard","none","59","70","66"
"female","group C","some high school","standard","none","68","66","69"
"female","group C","some college","standard","completed","45","63","62"
"male","group A","some high school","standard","none","49","39","40"
"male","group B","some high school","standard","none","80","80","82"
"female","group B","bachelor's degree","standard","none","55","66","65"
"male","group C","some high school","free/reduced","completed","52","60","61"
"male","group C","some high school","free/reduced","completed","51","61","59"
"female","group B","bachelor's degree","standard","none","72","90","84"
"female","group D","some high school","standard","none","71","85","84"
"male","group C","some high school","standard","none","64","62","56"
"male","group D","some high school","standard","completed","69","63","65"
"female","group D","some college","standard","none","70","75","78"
"female","group D","high school","free/reduced","none","41","49","46"
"female","group C","master's degree","free/reduced","completed","61","81","81"
"male","group E","some college","standard","completed","76","66","67"
"male","group E","some college","standard","none","79","71","72"
"female","group E","associate's degree","standard","none","94","99","98"
"male","group E","high school","free/reduced","completed","59","58","55"
"female","group D","some college","standard","none","64","71","63"
"female","group D","associate's degree","standard","none","77","82","88"
"male","group B","master's degree","standard","completed","100","100","100"
"female","group D","some high school","standard","completed","94","95","100"
"female","group B","some college","free/reduced","none","47","47","49"
"female","group C","master's degree","standard","none","56","74","74"
"male","group B","high school","standard","completed","71","75","74"
"male","group B","high school","standard","none","68","47","46"
"female","group E","some high school","free/reduced","none","46","57","48"
"female","group C","associate's degree","free/reduced","completed","74","90","85"
"male","group C","master's degree","standard","none","73","72","68"
"male","group A","some college","standard","none","65","57","56"
"male","group D","some college","standard","none","76","69","74"
"male","group B","associate's degree","free/reduced","none","42","53","44"
"female","group B","master's degree","standard","none","81","92","86"
"male","group B","some high school","standard","none","54","66","58"
"female","group D","some college","free/reduced","none","34","50","45"
"male","group D","associate's degree","free/reduced","none","59","60","56"
"male","group D","associate's degree","standard","completed","66","71","75"
"male","group C","some high school","standard","none","72","66","61"
"male","group D","some college","free/reduced","none","53","44","46"
"male","group D","some college","free/reduced","completed","72","76","77"
"female","group B","some high school","standard","completed","55","64","61"
"male","group C","bachelor's degree","free/reduced","none","80","91","80"
"male","group C","some high school","standard","completed","74","77","69"
"male","group E","associate's degree","free/reduced","none","87","80","73"
"female","group A","master's degree","free/reduced","none","64","70","74"
"male","group D","high school","free/reduced","none","39","48","46"
"female","group B","some college","free/reduced","none","42","54","48"
"male","group C","some high school","free/reduced","none","37","44","37"
"female","group E","some college","standard","completed","98","100","100"
"male","group D","high school","standard","none","71","72","69"
"male","group A","bachelor's degree","standard","none","74","76","68"
"female","group D","high school","standard","none","49","50","52"
"female","group C","some college","standard","none","70","85","75"
"male","group C","some high school","standard","none","90","77","79"
"female","group D","some high school","free/reduced","none","25","32","35"
"female","group A","some high school","standard","none","82","75","81"
"male","group B","associate's degree","free/reduced","completed","48","41","41"
"male","group C","some high school","standard","completed","68","76","71"
"male","group C","high school","free/reduced","none","57","54","51"
"female","group B","high school","free/reduced","none","65","82","83"
"female","group B","associate's degree","standard","none","53","65","64"
"female","group C","some high school","standard","completed","74","91","82"
"female","group D","some college","standard","none","44","61","55"
"male","group C","some high school","standard","completed","95","91","88"
"male","group C","bachelor's degree","standard","none","59","60","56"
"female","group C","associate's degree","standard","none","73","83","84"
"male","group D","some college","standard","completed","54","59","66"
"female","group B","high school","standard","completed","81","82","89"
"female","group A","some college","standard","none","65","67","70"
"female","group D","bachelor's degree","free/reduced","none","52","55","64"
"male","group E","master's degree","standard","none","82","75","71"
"male","group D","high school","standard","none","55","57","54"
"female","group D","some college","standard","none","84","78","81"
"female","group B","associate's degree","standard","completed","72","80","79"
"male","group D","master's degree","standard","none","54","42","42"
"male","group E","high school","standard","completed","100","100","100"
"female","group E","some college","free/reduced","none","40","54","49"
"male","group B","associate's degree","free/reduced","none","64","73","67"
"male","group E","some high school","free/reduced","completed","54","58","52"
"female","group C","high school","standard","completed","49","52","52"
"male","group D","associate's degree","standard","none","63","59","63"
"male","group D","some college","standard","completed","81","70","82"
"male","group E","associate's degree","standard","completed","92","86","83"
"male","group E","high school","standard","none","98","78","76"
"male","group A","some college","standard","none","78","72","65"
"male","group B","high school","free/reduced","none","46","50","49"
"male","group C","high school","free/reduced","none","70","67","66"
"male","group D","associate's degree","standard","completed","85","78","84"
"female","group C","associate's degree","standard","none","74","83","80"
"female","group D","high school","standard","completed","71","90","97"
"male","group D","high school","free/reduced","none","74","63","63"
"male","group C","master's degree","standard","none","86","83","84"
"male","group D","high school","standard","none","61","52","50"
"male","group D","high school","standard","none","92","85","85"
"male","group A","some high school","free/reduced","completed","69","73","73"
"male","group B","high school","free/reduced","none","47","47","40"
"female","group C","some college","free/reduced","none","56","74","72"
"female","group C","some college","free/reduced","none","61","75","72"
"male","group D","some college","standard","none","56","55","57"
"male","group B","some college","standard","none","78","69","65"
"female","group D","bachelor's degree","standard","none","62","73","77"
"female","group D","associate's degree","standard","none","77","75","76"
"male","group C","high school","standard","completed","55","55","54"
"female","group A","bachelor's degree","standard","none","52","55","57"
"male","group C","bachelor's degree","free/reduced","none","69","64","62"
"female","group C","some high school","standard","none","77","83","83"
"female","group B","bachelor's degree","standard","none","71","81","85"
"female","group C","master's degree","standard","none","78","83","88"
"female","group B","some high school","standard","none","52","64","63"
"male","group C","associate's degree","standard","completed","74","74","71"
"male","group D","master's degree","standard","none","86","86","79"
"male","group A","some college","free/reduced","completed","66","75","77"
"male","group D","associate's degree","standard","completed","91","77","85"
"male","group B","high school","standard","completed","60","66","64"
"male","group C","some college","standard","none","77","74","73"
"male","group C","master's degree","standard","none","62","52","55"
"female","group C","some college","standard","none","70","67","68"
"male","group C","high school","standard","none","78","72","72"
"female","group C","high school","free/reduced","none","50","67","59"
"female","group C","master's degree","free/reduced","completed","60","60","67"
"male","group B","some college","standard","none","57","45","51"
"female","group E","some college","free/reduced","completed","74","85","87"
"female","group E","some college","free/reduced","completed","55","57","64"
"female","group A","bachelor's degree","standard","none","53","62","63"
"female","group C","some high school","free/reduced","none","56","73","73"
"male","group E","some high school","standard","none","86","76","70"
"female","group B","some high school","free/reduced","none","53","67","62"
"male","group C","some college","standard","completed","64","69","72"
"female","group B","master's degree","standard","completed","90","100","100"
"female","group C","some college","standard","completed","59","61","63"
"female","group D","some college","standard","none","49","60","60"
"male","group D","bachelor's degree","standard","none","69","59","55"
"female","group A","some college","free/reduced","completed","62","83","80"
"female","group C","bachelor's degree","free/reduced","none","48","55","59"
"male","group E","associate's degree","standard","none","84","78","77"
"female","group C","high school","free/reduced","none","56","73","65"
"male","group D","some high school","standard","none","85","72","76"
"female","group D","some high school","standard","completed","74","81","81"
"male","group D","some college","free/reduced","none","41","45","46"
"male","group E","bachelor's degree","free/reduced","completed","95","95","91"
"female","group A","some high school","standard","completed","55","55","64"
"female","group C","associate's degree","standard","none","68","79","79"
"male","group E","some college","free/reduced","completed","71","63","66"
"male","group C","high school","standard","completed","100","91","93"
"male","group E","some high school","standard","none","78","65","64"
"male","group B","associate's degree","standard","none","88","92","85"
"female","group C","associate's degree","standard","none","89","88","90"
"male","group D","master's degree","standard","none","75","69","72"
"female","group E","some college","free/reduced","completed","74","78","78"
"male","group B","associate's degree","standard","none","75","70","71"
"female","group D","bachelor's degree","standard","completed","73","81","93"
"female","group E","some college","standard","none","80","92","83"
"female","group D","bachelor's degree","standard","none","79","86","89"
"female","group D","high school","standard","completed","65","69","70"
"female","group E","some high school","standard","none","75","81","75"
"female","group C","associate's degree","free/reduced","completed","57","77","75"
"male","group C","high school","standard","none","56","52","56"
"male","group D","high school","free/reduced","none","50","46","45"
"female","group E","associate's degree","standard","completed","82","82","88"
"male","group E","associate's degree","free/reduced","none","85","72","68"
"male","group E","high school","standard","none","71","64","58"
"female","group E","master's degree","standard","none","81","99","93"
"female","group B","associate's degree","free/reduced","none","44","61","61"
"female","group D","associate's degree","standard","completed","85","100","99"
"female","group D","associate's degree","free/reduced","none","46","67","60"
"female","group C","some high school","standard","completed","68","74","74"
"female","group C","some high school","standard","completed","74","83","82"
"female","group E","associate's degree","free/reduced","completed","58","69","66"
"male","group C","associate's degree","standard","completed","92","81","85"
"male","group C","high school","free/reduced","completed","53","58","52"
"female","group B","some high school","standard","none","55","72","71"
"female","group C","high school","standard","completed","62","69","72"
"female","group D","some college","free/reduced","completed","53","69","69"
"male","group C","some high school","free/reduced","completed","58","61","64"
"male","group D","high school","free/reduced","none","42","41","39"
"male","group C","some high school","standard","completed","66","54","55"
"female","group C","some high school","free/reduced","none","35","54","49"
"male","group D","some college","standard","none","49","46","42"
"female","group B","high school","standard","completed","81","88","93"
"female","group D","master's degree","standard","completed","70","73","76"
"female","group C","associate's degree","standard","none","78","82","77"
"female","group D","associate's degree","standard","completed","76","85","91"
"female","group A","bachelor's degree","free/reduced","none","38","47","46"
"female","group A","some college","standard","none","64","71","65"
"female","group C","associate's degree","standard","none","76","81","82"
"male","group D","high school","standard","none","85","85","76"
"male","group C","associate's degree","standard","none","63","65","56"
"female","group D","some college","standard","completed","83","84","91"
"male","group B","some college","standard","none","83","86","72"
"male","group C","some college","free/reduced","none","59","57","52"
"female","group B","associate's degree","standard","none","65","72","69"
"female","group C","high school","standard","completed","88","97","99"
"male","group A","bachelor's degree","free/reduced","none","44","41","40"
"female","group B","high school","standard","completed","58","68","69"
"female","group C","some college","free/reduced","completed","41","62","62"
"female","group C","associate's degree","free/reduced","completed","58","75","71"
"female","group C","associate's degree","free/reduced","none","51","67","56"
"male","group D","master's degree","standard","completed","88","82","84"
"male","group C","high school","standard","none","78","78","73"
"female","group C","some college","standard","none","74","99","94"
"female","group C","bachelor's degree","free/reduced","completed","62","71","75"
"female","group B","associate's degree","free/reduced","none","52","58","60"
"female","group C","bachelor's degree","free/reduced","none","60","64","63"
"male","group B","some high school","free/reduced","none","73","68","67"
"male","group C","master's degree","standard","completed","88","69","71"
"female","group B","master's degree","standard","none","66","77","77"
"male","group E","associate's degree","free/reduced","none","68","62","62"
"female","group B","master's degree","standard","none","55","67","68"
"male","group E","master's degree","free/reduced","completed","74","68","71"
"female","group D","high school","free/reduced","none","60","68","62"
"male","group D","some college","standard","none","56","53","52"
"female","group C","bachelor's degree","free/reduced","completed","64","80","78"
"male","group D","associate's degree","free/reduced","none","67","65","64"
"female","group C","bachelor's degree","standard","none","67","75","73"
"female","group E","bachelor's degree","standard","completed","72","87","88"
"male","group C","some college","free/reduced","none","58","53","49"
"female","group C","high school","free/reduced","completed","43","58","65"
"female","group D","master's degree","standard","completed","88","98","98"
"female","group E","associate's degree","free/reduced","completed","96","96","100"
"female","group C","some high school","free/reduced","none","59","58","60"
"female","group D","associate's degree","free/reduced","none","43","50","57"
"male","group E","some high school","free/reduced","completed","72","69","66"
"female","group C","some high school","standard","none","48","49","50"
"female","group A","bachelor's degree","standard","none","67","74","79"
"male","group E","some high school","free/reduced","none","79","73","70"
"male","group D","associate's degree","standard","completed","72","79","76"
"female","group A","some high school","free/reduced","none","54","70","67"
"male","group C","some college","free/reduced","none","45","48","48"
"male","group C","some high school","standard","none","45","32","31"
"male","group B","some high school","standard","none","88","76","79"
"female","group B","some high school","standard","none","49","64","59"
"female","group C","high school","free/reduced","none","11","17","16"
"female","group C","bachelor's degree","free/reduced","none","39","53","56"
"male","group B","high school","standard","completed","82","70","69"
"male","group C","high school","standard","none","45","38","39"
"female","group A","some high school","standard","none","32","41","41"
"female","group E","bachelor's degree","standard","completed","88","89","100"
"male","group D","associate's degree","standard","none","74","78","72"
"female","group D","high school","free/reduced","none","51","58","64"
"male","group B","some high school","free/reduced","none","63","50","45"
"male","group D","master's degree","standard","none","75","62","70"
"female","group E","associate's degree","standard","completed","75","84","83"
"male","group C","some high school","free/reduced","none","25","23","13"
"female","group D","high school","free/reduced","none","56","73","72"
"male","group C","high school","standard","none","65","65","61"
"female","group C","associate's degree","standard","none","58","58","65"
"female","group C","some college","standard","completed","71","76","74"
"male","group A","some high school","free/reduced","completed","78","80","78"
"male","group D","bachelor's degree","standard","none","77","63","66"
"female","group C","associate's degree","standard","completed","76","79","82"
"female","group A","some college","free/reduced","completed","51","58","56"
"male","group B","some college","free/reduced","none","79","74","69"
"male","group C","some high school","free/reduced","completed","64","68","71"
"female","group B","some college","standard","none","83","89","89"
"female","group C","some high school","free/reduced","none","45","44","45"
"female","group E","high school","standard","none","70","82","74"
"female","group C","associate's degree","free/reduced","none","58","71","67"
"female","group C","associate's degree","standard","none","35","54","49"
"female","group D","master's degree","free/reduced","completed","61","81","83"
"male","group C","some college","standard","none","66","65","62"
"male","group C","some high school","standard","none","66","60","57"
"female","group C","bachelor's degree","standard","none","62","62","66"
"male","group C","high school","free/reduced","none","51","42","36"
"female","group B","bachelor's degree","standard","completed","76","94","89"
"male","group D","high school","standard","completed","79","70","68"
"female","group B","master's degree","standard","none","82","90","92"
"male","group B","high school","standard","none","72","60","51"
"male","group C","high school","standard","completed","79","83","85"
"female","group E","some college","standard","completed","88","96","91"
"female","group C","high school","standard","none","73","76","77"
"female","group B","master's degree","free/reduced","none","31","38","41"
"female","group C","some college","free/reduced","completed","61","74","75"
"male","group B","some high school","free/reduced","none","65","60","62"
"male","group B","bachelor's degree","free/reduced","completed","59","58","56"
"male","group C","bachelor's degree","free/reduced","none","65","72","68"
"male","group C","some college","standard","none","85","86","80"
"male","group D","some college","standard","completed","83","78","85"
"male","group B","some college","free/reduced","none","63","60","57"
"female","group E","some high school","free/reduced","none","56","68","61"
"male","group C","some college","standard","none","88","79","83"
"male","group D","some college","standard","completed","66","67","71"
"female","group C","some college","standard","none","82","84","89"
"female","group C","some college","free/reduced","none","67","74","78"
"male","group E","high school","standard","none","69","73","65"
"female","group C","some college","standard","none","59","73","71"
"male","group B","master's degree","standard","completed","93","81","86"
"male","group B","bachelor's degree","standard","none","81","79","80"
"male","group C","some high school","standard","completed","92","90","85"
"female","group B","some high school","standard","completed","73","82","88"
"male","group B","associate's degree","free/reduced","none","40","39","32"
"male","group D","master's degree","standard","none","72","69","71"
"female","group B","some high school","free/reduced","none","27","43","42"
"female","group E","bachelor's degree","standard","none","57","55","63"
"male","group E","master's degree","standard","none","77","71","72"
"male","group E","associate's degree","standard","none","100","86","88"
"male","group E","some high school","free/reduced","none","70","68","57"
"male","group C","master's degree","standard","none","70","72","68"
"female","group C","bachelor's degree","standard","completed","63","74","85"
"female","group D","associate's degree","standard","completed","77","81","93"
"male","group B","associate's degree","standard","completed","54","57","56"
"male","group D","associate's degree","free/reduced","none","65","69","69"
"female","group E","bachelor's degree","free/reduced","none","70","68","70"
"male","group C","bachelor's degree","standard","none","83","86","79"
"male","group D","associate's degree","standard","none","52","64","55"
"male","group B","some college","standard","completed","79","65","73"
"male","group D","some college","free/reduced","none","52","61","59"
"male","group E","high school","free/reduced","none","59","56","56"
"male","group D","some high school","standard","none","57","46","52"
"male","group C","high school","free/reduced","none","54","45","42"
"female","group C","some college","free/reduced","none","50","61","61"
"male","group D","some high school","standard","none","61","54","51"
"male","group B","some college","standard","none","64","58","56"
"female","group B","bachelor's degree","standard","none","66","77","73"
"male","group C","some college","free/reduced","none","68","59","55"
"female","group B","high school","standard","none","49","48","51"
"male","group D","bachelor's degree","standard","none","76","72","77"
"female","group C","some high school","standard","none","86","87","87"
"male","group C","master's degree","standard","completed","75","78","84"
"female","group E","associate's degree","free/reduced","none","81","96","93"
"female","group C","associate's degree","standard","completed","86","99","100"
"female","group B","some college","standard","none","47","48","47"
"female","group D","some college","standard","none","84","87","88"
"male","group A","high school","standard","none","59","52","52"
"male","group B","some high school","free/reduced","none","30","34","27"
"female","group B","master's degree","standard","none","49","63","59"
"male","group A","bachelor's degree","standard","none","75","79","74"
"female","group C","high school","free/reduced","completed","58","66","70"
"male","group B","some college","standard","none","70","55","59"
"male","group E","high school","standard","completed","67","63","61"
"male","group C","some high school","standard","completed","64","65","67"
"female","group E","associate's degree","standard","none","57","51","56"
"female","group D","some college","standard","none","48","54","56"
"female","group E","bachelor's degree","standard","completed","76","88","87"
"female","group D","some college","standard","completed","86","100","100"
"female","group C","some high school","standard","completed","83","90","88"
"female","group A","associate's degree","standard","completed","84","92","94"
"female","group D","associate's degree","free/reduced","completed","61","77","75"
"male","group C","some college","free/reduced","none","70","74","70"
"female","group E","high school","standard","completed","93","94","89"
"male","group B","some college","standard","none","73","77","73"
"female","group B","some high school","free/reduced","none","59","69","76"
"male","group C","some college","standard","none","69","56","52"
"female","group C","some college","standard","none","37","43","37"
"female","group D","associate's degree","free/reduced","completed","73","87","92"
"female","group E","high school","free/reduced","none","62","69","65"
"male","group D","some high school","free/reduced","none","39","31","33"
"female","group C","some high school","standard","none","41","51","45"
"female","group C","bachelor's degree","standard","completed","75","96","96"
"male","group D","high school","standard","completed","59","61","58"
"female","group A","high school","standard","none","75","69","73"
"male","group D","bachelor's degree","standard","completed","90","93","87"
"male","group C","associate's degree","standard","none","61","67","60"
"female","group E","high school","standard","completed","79","86","87"
"male","group D","some high school","standard","completed","85","94","91"
"male","group D","high school","standard","none","65","58","56"
"male","group C","some high school","standard","completed","59","57","58"
"male","group B","some high school","free/reduced","none","48","43","43"
"male","group B","associate's degree","standard","none","80","71","65"
"male","group C","some college","standard","none","62","55","53"
"female","group D","associate's degree","standard","none","66","71","68"
"female","group D","high school","standard","none","60","64","69"
"male","group B","bachelor's degree","standard","none","82","80","74"
"female","group D","some college","standard","completed","67","83","84"
"female","group B","associate's degree","free/reduced","none","54","67","67"
"male","group D","associate's degree","standard","completed","83","71","75"
"male","group C","some high school","standard","completed","81","72","78"
"female","group E","some college","standard","completed","66","78","71"
"male","group E","some college","standard","completed","60","55","64"
"male","group E","some college","free/reduced","completed","82","73","79"
"male","group E","some college","standard","none","91","91","79"
"female","group D","master's degree","standard","completed","89","85","92"
"female","group D","associate's degree","standard","completed","78","82","88"
"female","group D","some high school","standard","none","57","76","75"
"female","group B","some college","standard","none","60","73","66"
"female","group A","associate's degree","standard","completed","67","84","88"
"male","group E","high school","standard","none","77","68","62"
"female","group C","associate's degree","standard","completed","64","63","69"
"female","group C","some high school","standard","none","69","84","79"
"female","group D","bachelor's degree","standard","none","50","61","63"
"male","group C","bachelor's degree","free/reduced","none","58","47","51"
"male","group D","associate's degree","standard","none","64","61","56"
"female","group C","some high school","standard","none","54","63","62"
"male","group E","high school","standard","none","80","77","73"
"female","group E","some college","standard","completed","83","88","89"
"female","group D","some college","standard","none","89","89","90"
"female","group A","high school","free/reduced","none","39","49","47"
"female","group D","some college","standard","none","33","42","38"
"female","group D","master's degree","standard","completed","74","86","94"
"male","group C","high school","standard","none","75","60","59"
"male","group C","high school","free/reduced","none","6","12","3"
"female","group C","some college","standard","completed","57","80","78"
"male","group D","high school","standard","none","68","64","61"
"female","group D","associate's degree","free/reduced","none","67","75","76"
"female","group D","associate's degree","standard","completed","83","81","92"
"male","group C","high school","free/reduced","none","55","39","36"
"female","group C","associate's degree","standard","completed","78","83","81"
"male","group E","associate's degree","standard","completed","63","61","58"
"male","group B","master's degree","standard","none","80","80","81"
"male","group E","master's degree","free/reduced","none","78","68","67"
"female","group D","some high school","standard","none","83","82","75"
"female","group C","some college","free/reduced","completed","32","38","43"
"female","group E","some college","standard","none","99","98","97"
"male","group C","some college","standard","none","89","88","77"
"male","group D","some college","free/reduced","none","58","49","46"
"female","group E","high school","free/reduced","completed","64","63","65"
"male","group B","master's degree","free/reduced","completed","36","47","47"
"female","group E","some college","standard","none","86","94","87"
"female","group C","associate's degree","standard","completed","57","77","70"
"female","group D","associate's degree","free/reduced","none","47","64","58"
"male","group E","some high school","standard","completed","76","64","62"
"female","group A","associate's degree","free/reduced","completed","67","66","75"
"male","group C","some college","free/reduced","completed","69","73","66"
"female","group C","some college","standard","none","67","83","79"
"male","group E","associate's degree","standard","none","86","67","68"
"female","group C","high school","standard","none","68","83","77"
"female","group C","master's degree","standard","completed","89","100","100"
"male","group D","high school","free/reduced","none","71","73","69"
"male","group E","some high school","standard","none","96","79","76"
"male","group E","bachelor's degree","free/reduced","completed","97","86","88"
"female","group C","some high school","standard","none","50","55","50"
"male","group E","some college","standard","none","95","75","74"
"female","group B","high school","standard","none","59","66","59"
"female","group C","associate's degree","free/reduced","completed","65","77","86"
"female","group C","high school","standard","none","58","57","56"
"male","group B","high school","free/reduced","none","46","50","44"
"female","group D","some high school","free/reduced","none","57","72","74"
"male","group A","high school","free/reduced","completed","58","69","64"
"male","group A","some high school","standard","completed","60","62","53"
"female","group E","associate's degree","standard","none","74","82","81"
"male","group C","high school","free/reduced","completed","80","91","88"
"male","group C","high school","free/reduced","none","46","50","41"
"female","group E","master's degree","free/reduced","completed","56","58","59"
"female","group B","bachelor's degree","standard","none","95","96","95"
"male","group B","bachelor's degree","standard","none","63","62","61"
"male","group D","some college","free/reduced","none","49","38","33"
"male","group C","some college","standard","completed","75","61","68"
"male","group B","some high school","free/reduced","none","61","63","50"
"female","group B","some high school","standard","completed","50","59","62"
"male","group B","master's degree","free/reduced","none","60","56","47"
"female","group A","some college","free/reduced","none","61","65","67"
"female","group D","some high school","free/reduced","completed","56","61","62"
"female","group D","high school","standard","none","54","64","66"
"female","group D","associate's degree","free/reduced","none","57","71","69"
"female","group E","some college","free/reduced","none","67","75","77"
"male","group E","some high school","standard","completed","81","77","76"
"male","group B","high school","standard","none","56","54","54"
"male","group C","some college","standard","none","65","63","61"
"female","group C","master's degree","free/reduced","completed","52","78","73"
"male","group B","some college","free/reduced","none","64","57","52"
"female","group C","associate's degree","free/reduced","none","56","64","66"
"female","group B","some high school","standard","none","52","73","71"
"male","group D","associate's degree","standard","none","73","64","62"
"male","group C","some college","standard","completed","78","82","80"
"male","group A","high school","standard","completed","50","51","48"
"male","group B","some college","free/reduced","none","60","66","59"
"male","group D","master's degree","free/reduced","completed","71","73","72"
"female","group A","high school","standard","none","57","63","56"
"female","group D","some college","standard","completed","88","99","100"
"female","group B","some high school","standard","none","54","62","61"
"male","group D","bachelor's degree","free/reduced","completed","79","81","82"
"male","group C","master's degree","standard","completed","76","81","78"
"female","group D","some college","standard","none","62","63","72"
"female","group C","associate's degree","standard","completed","76","89","88"
"female","group A","associate's degree","free/reduced","none","31","62","52"
"female","group C","high school","standard","none","70","73","67"
"female","group E","bachelor's degree","standard","none","87","90","88"
"female","group D","bachelor's degree","standard","none","100","100","100"
"female","group D","associate's degree","standard","completed","74","78","87"
"male","group D","associate's degree","free/reduced","none","82","90","85"
"female","group D","high school","standard","none","53","63","65"
"male","group C","bachelor's degree","free/reduced","none","58","60","57"
"female","group E","associate's degree","free/reduced","completed","65","69","74"
"male","group D","high school","standard","none","79","66","64"
"male","group D","some high school","standard","none","68","57","59"
"male","group C","high school","standard","none","89","80","70"
"male","group E","master's degree","standard","none","86","84","77"
"female","group D","master's degree","standard","completed","82","90","100"
"male","group C","bachelor's degree","standard","none","60","47","37"
"female","group C","some high school","free/reduced","completed","57","69","68"
"female","group C","high school","standard","completed","71","92","89"
"male","group D","some high school","free/reduced","none","60","59","60"
"male","group B","bachelor's degree","free/reduced","none","70","70","63"
"male","group B","bachelor's degree","free/reduced","none","55","42","44"
"female","group B","some high school","free/reduced","none","29","42","39"
"male","group D","some high school","free/reduced","none","67","76","71"
"male","group B","some college","standard","completed","75","82","75"
"female","group C","some college","standard","completed","70","73","73"
"female","group E","some college","standard","none","78","82","84"
"male","group C","associate's degree","standard","completed","84","79","77"
"female","group D","associate's degree","standard","none","70","72","78"
"male","group D","master's degree","free/reduced","completed","84","80","79"
"male","group D","high school","free/reduced","none","51","51","46"
"male","group A","some high school","free/reduced","none","48","43","41"
"male","group A","master's degree","free/reduced","none","42","37","32"
"female","group D","high school","standard","completed","63","73","80"
"female","group B","associate's degree","free/reduced","none","70","74","82"
"female","group E","associate's degree","standard","none","78","77","73"
"male","group D","some college","free/reduced","completed","65","61","71"
"female","group B","high school","standard","completed","50","60","55"
"female","group D","some high school","standard","none","59","64","64"
"male","group E","master's degree","free/reduced","completed","82","71","78"
"male","group A","high school","standard","completed","79","80","79"
"male","group E","some college","free/reduced","none","81","72","68"
"female","group D","some college","free/reduced","completed","56","74","74"
"male","group A","bachelor's degree","standard","none","67","58","59"
"female","group B","high school","free/reduced","none","67","80","75"
"male","group D","high school","standard","none","86","82","81"
"male","group C","some high school","free/reduced","none","35","35","31"
"female","group D","some high school","standard","none","67","80","80"
"female","group A","high school","standard","none","80","78","75"
"female","group C","some college","free/reduced","none","43","62","58"
"male","group E","some college","free/reduced","none","77","69","67"
"male","group E","master's degree","standard","none","93","77","82"
